Categoria;Foto;Precio;
Anillos;1.jpeg;5;
Anillos;2.jpeg;vendido;v
Anillos;3.jpeg;8;
Anillos;4.jpeg;5;
Anillos;5.jpeg;vendido;v
Anillos;6.jpeg;5;
Anillos;7.jpeg;5;
Anillos;8.jpeg;vendido;
Anillos;9.jpeg;vendido;
Anillos;10.jpeg;5;
Anillos;11.jpeg;5;
Anillos;12.jpeg;5;
Anillos;13.jpeg;5;
Anillos;14.jpeg;vendido;
Anillos;15.jpeg;7;
Anillos;16.jpeg;vendido;
Anillos;17.jpeg;7;
Anillos;18.jpeg;5;
Anillos;19.jpeg;5;
Anillos;20.jpeg;vendido;
Anillos;21.jpeg;7;
Anillos;22.jpeg;7;
Anillos;23.jpeg;7;
Anillos;24.jpeg;7;
Aretes;1.jpeg;5;
Aretes;2.jpeg;vendido;
Aretes;3.jpeg;vendido;
Aretes;4.jpeg;vendido;
Aretes;5.jpeg;5;
Aretes;6.jpeg;5;
Aretes;7.jpeg;5;
Aretes;8.jpeg;4;
Aretes;9.jpeg;vendido;
Aretes;10.jpeg;5;
Aretes;11.jpeg;vendido;
Aretes;12.jpeg;5;
Aretes;13.jpeg;4;
Manillas;1.jpeg;vendido;
Manillas;2.jpeg;vendido;
Manillas;3.jpeg;vendido;
Manillas;4.jpeg;vendido;
Manillas;5.jpeg;vendido;
Manillas;6.jpeg;vendido;
Manillas;7.jpeg;6;
Collares;1.jpeg;vendido;
Collares;2.jpeg;9;
Collares;3.jpeg;9;
Collares;4.jpeg;7;
Collares;5.jpeg;10;
Collares;6.jpeg;vendido;
Collares;7.jpeg;9;
Collares;8.jpeg;vendido;
Collares;9.jpeg;vendido;
Collares;10.jpeg;vendido;
Collares;11.jpeg;7;
Collares;12.jpeg;7;
Collares;13.jpeg;vendido;
Collares;14.jpeg;7;
Collares;15.jpeg;vendido;
Collares;16.jpeg;7;
